1157627905	Anniston
1157627906	Fairhope
1157627907	Huntsville
1157627908	Montgomery
1157627909	Eielson Afb
1157627911	Mesa
1157627912	Oracle
1157627913	Phoenix
1157627914	Prescott
1157627915	Winslow
1157627916	El Dorado
1157627917	Tumbling Shoals
1157627918	Alameda
1157627919	Anaheim
1157627920	Barstow
1157627921	Berkeley
1157627922	Bloomington
1157627923	Camarillo
1157627924	Cathedral City
1157627925	Chowchilla
1157627926	Daly City
1157627927	Fresno
1157627928	Irvine
1157627929	June Lake
1157627930	La Jolla
1157627931	Larkspur
1157627932	Los Angeles
1157627933	Marina Del Rey
1157627934	Mountain View
1157627935	Northridge
1157627936	Oakland
1157627937	Pasadena
1157627938	Rancho Cordova
1157627939	Rio Dell
1157627940	Rosemead
1157627941	San Diego
1157627942	San Francisco
1157627943	San Jose
1157627944	San Luis Obispo
1157627945	San Mateo
1157627946	Santa Barbara
1157627947	Santa Clara
1157627948	Santa Clarita
1157627949	Santa Cruz
1157627950	Santa Rosa
1157627951	Thousand Oaks
1157627952	Torrance
1157627953	Vallejo
1157627954	San Buenaventura
1157627956	Boulder
1157627957	Denver
1157627958	Dillon
1157627959	Englewood
1157627960	Loveland
1157627961	Pueblo
1157627962	New Haven
1157627963	Uncasville
1157627964	Hollywood
1157627965	Malabar
1157627966	Orlando
1157627967	Palm Bay
1157627968	Panama City
1157627969	Patrick Afb
1157627970	Pinellas Park
1157627971	Pompano Beach
1157627972	Sanford
1157627973	Stuart
1157627974	Tampa
1157627975	Atlanta
1157627977	Newnan
1157627978	Portal
1157627979	Boise
1157627980	Hansen
1157627981	Idaho City
1157627982	Batavia
1157627983	Chicago
1157627984	Dekalb
1157627985	Downers Grove
1157627986	Lisle
1157627987	Marine
1157627988	Muddy
1157627989	Philo
1157627990	Springfield
1157627991	Carmel
1157627992	Franklin
1157627994	Mongo
1157627995	Seymour
1157627996	Agency
1157627997	Central City
1157627998	Council Bluffs
1157627999	Fort Dodge
1157628000	Hospers
1157628001	Iowa City
1157628002	Kelley
1157628003	Mediapolis
1157628004	Muscatine
1157628005	Thompson
1157628006	Albert
1157628007	Anthony
1157628008	Bentley
1157628009	Dodge City
